CARD-PLACEMENT POWER RANKINGS  (UFC)  — as of 2026-06-22  [metric: avg card slot (1.0 = main event, lower = higher)]
recency: last 3 fights, decay 1 | active ≤ 18mo
events scanned: 788 | inverted-order events corrected on the fly: 11 | ranked fighters: 560 (division inferred from opponents for 174, marked ~) | skipped (no division): 18


━━━ HEAVYWEIGHT ━━━  (39 ranked)
49. Preston Parsons ~             8.67  [10/14n 10/14P 6/11n]  last 2025-01-11
50. Court McGee ~                 8.67  [8/13n 12/12P 6/12n]  last 2025-06-14
51. Punahele Soriano              9.00  [11/14n 10/14P 6/14n]  last 2026-02-22
52. Oban Elliott                  9.00  [9/13P 7/12n 11/12P]  last 2026-01-31
53. Adam Fugitt ~                 9.00  [11/11P 10/14P 6/11n]  last 2026-01-24
54. Ko Seok-hyun ~                9.50  [12/13n 7/12n]  last 2025-11-01
55. Charles Radtke               10.00  [12/12P 8/16n]  last 2026-04-11
56. Andreas Gustafsson           10.50  [12/13n 9/13P]  last 2025-09-06
57. Daniil Donchenko             10.50  [7/13n 14/14n]  last 2026-02-07
58. Jonathan Micallef            11.00  [13/14n 9/13P 11/12P]  last 2026-05-02
59. Philip Rowe ~                11.00  [12/13n 12/13n 9/12P]  last 2025-11-01
60. Rinat Fakhretdinov ~         11.00  [12/13n 13/13P 8/11n]  last 2025-09-06
61. Max Griffin                  11.33  [15/16n 7/12n 12/14o]  last 2026-04-25
62. Austin Vanderford ~          11.50  [13/14P 10/12n]  last 2025-10-04

━━━ LIGHTWEIGHT ━━━  (79 ranked)
 1. Max Holloway                  1.00  [1/16P 1/14P 1/13P]  last 2026-03-07
 2. Ilia Topuria                  1.00  [1/7o 1/11P 1/13P]  last 2026-06-14
 3. Charles Oliveira              1.00  [1/16P 1/12n 1/11P]  last 2026-03-07
 4. Justin Gaethje                1.33  [1/7o 1/11P 2/10P]  last 2026-06-14
 5. Paddy Pimblett                2.00  [1/11P 2/13P 3/14P]  last 2026-01-24
 6. Dan Hooker ~                  2.00  [2/13P 1/14n 3/12P]  last 2026-01-31
 7. Rafael Fiziev                 2.33  [3/13P 2/12n 2/10P]  last 2026-01-31
 8. Renato Moicano                2.67  [1/16n 3/16P 4/11P]  last 2026-04-04
 9. Brian Ortega                  2.67  [3/16P 2/12n 3/10P]  last 2026-03-07
10. Benoit St. Denis ~            3.00  [2/13P 5/14P 2/13n]  last 2026-01-31
11. Michael Chandler              3.00  [5/7o 2/13P 2/12P]  last 2026-06-14
12. Mateusz Gamrot                3.33  [8/12P 1/12n 1/9n]  last 2026-04-11
13. Chris Duncan                  3.33  [1/16n 7/14P 2/12n]  last 2026-04-04
14. Mauricio Ruffy                3.33  [5/7o 3/13P 2/13n]  last 2026-06-14
15. Beneil Dariush                3.67  [2/14n 5/14P 4/11P]  last 2026-05-02
16. Ignacio Bahamondes            4.00  [7/16n 2/12n 3/10P]  last 2026-03-28
17. Daniel Zellhuber              4.00  [3/14n 5/14P 4/10P]  last 2026-02-28
18. King Green                    4.00  [5/14P 3/14n]  last 2026-05-09
19. Quillan Salkilld              4.33  [2/14n 5/13P 6/13P]  last 2026-05-02
20. Kurt Holobaugh ~              4.33  [7/9n 3/13n 3/11n]  last 2025-05-31
21. Drew Dober                    4.67  [5/16P 7/13n 2/12n]  last 2026-03-07
22. Bobby Green ~                 4.67  [6/12n 5/10P 3/14P]  last 2025-12-13
23. Jeremy Stephens               4.67  [5/14P 6/12n 3/10n]  last 2026-05-09
24. Esteban Ribovics              4.67  [8/12P 3/12n 3/10n]  last 2026-04-11
25. Tofiq Musayev                 4.67  [3/16n 7/16n 4/12n]  last 2026-04-04
26. Manuel Torres                 5.00  [2/12n 7/10P 6/13n]  last 2025-03-29
27. Nasrat Haqparast ~            5.00  [6/13P 3/10n 6/11n]  last 2025-10-25
28. Tom Nolan                     5.00  [3/16n 5/12n 7/12P]  last 2026-06-06
29. Kyle Nelson                   5.00  [6/16n 6/13n 3/12n]  last 2026-03-28
30. Matt Frevola ~                5.33  [6/13n 6/14n 4/13P]  last 2025-10-18
31. Myktybek Orolbai Uulu ~       5.33  [4/14n 4/12n 8/13P]  last 2025-11-22
32. Michael Johnson               5.67  [5/16P 5/14P 7/13n]  last 2026-03-07
33. Elves Brenner ~               5.67  [3/12n 6/13n 8/13P]  last 2025-08-02
34. Fares Ziam                    5.67  [3/16n 9/14P 5/11n]  last 2026-06-06
35. Mason Jones                   5.67  [7/15n 4/13n 6/12n]  last 2026-03-21
36. Rafa Garcia                   5.67  [4/16n 3/14n 10/12n]  last 2026-04-25
37. Ludovit Klein                 6.00  [8/13P 1/9n 9/14n]  last 2025-10-25
38. Nazim Sadykhov                6.00  [9/14P 5/12n 4/12n]  last 2025-12-06
39. Carlos Diego Ferreira ~       6.00  [5/14n 9/13P 4/12n]  last 2025-09-13
40. Alexander Hernandez           6.00  [4/16n 5/14n 9/12P]  last 2026-04-25
41. Axel Sola                     6.00  [7/15n 5/13n]  last 2026-03-21
42. Mateusz Rebecki               6.33  [9/14P 8/13P 2/12n]  last 2026-05-09
43. Jared Gordon                  6.33  [10/14P 3/14n 6/11n]  last 2026-05-09
44. Gauge Young                   6.33  [5/14n 6/12n 8/14n]  last 2026-04-18
45. Rhys McKee ~                  6.33  [5/13n 8/12n 6/14n]  last 2025-09-06
46. Ismael Bonfim                 6.67  [4/12n 4/12n 12/13P]  last 2025-11-08
47. Thiago Moises                 6.67  [5/14n 6/11n 9/14n]  last 2026-04-18
48. Chris Padilla                 7.00  [10/12P 4/12n 7/13n]  last 2026-04-11
49. Edson Barboza                 7.33  [11/14P 10/12P 1/12n]  last 2025-12-06
50. Terrance McKinney             7.33  [6/16n 7/14P 9/11P]  last 2026-03-28
51. Jai Herbert                   7.33  [3/14n 7/13n 12/13n]  last 2026-04-18
52. Bolaji Oki                    7.33  [10/14n 4/13n 8/9n]  last 2026-03-14
53. Jordan Vucenic ~              7.50  [5/13n 10/13n]  last 2025-03-22
54. Jamie Mullarkey ~             7.67  [5/13P 8/12n 10/13P]  last 2026-01-31
55. Mike Davis ~                  7.67  [11/12n 5/11n 7/13n]  last 2025-07-12
56. Grant Dawson                  8.00  [9/14P 6/14P 9/13P]  last 2026-05-09
57. Jalin Turner ~                8.00  [11/14P 3/10P 10/13P]  last 2025-12-06
58. Kyle Prepolec ~               8.00  [7/13n 5/12P 12/12n]  last 2025-10-18
59. Timothy Cuamba ~              8.00  [8/13n 13/14n 3/11n]  last 2025-11-01
60. Rong Zhu ~                    8.00  [8/12n 10/12P 6/12n]  last 2025-08-23
61. Jim Miller                    8.33  [10/14P 8/13P 7/12P]  last 2026-05-09
62. Chase Hooper                  8.33  [8/16n 9/12P 8/13P]  last 2026-03-28
63. Mairon Santos ~               8.33  [14/14P 2/11n 9/10P]  last 2025-12-06
64. Drakkar Klose ~               9.00  [10/12P 8/13n 9/13P]  last 2025-08-16
65. Matheus Camilo                9.00  [13/14P 5/11n]  last 2025-11-15
66. Trey Ogden                    9.33  [10/16n 9/14n 9/12n]  last 2026-05-16
67. Austin Hubbard ~              9.33  [8/12n 12/12n 8/12P]  last 2025-08-23
68. Nikolas Motta ~               9.33  [5/12n 13/13n 10/11n]  last 2025-06-21
69. Viacheslav Borshchev ~        9.67  [13/14P 9/11P 7/12P]  last 2025-11-15
70. Darrius Flowers               9.67  [12/16n 12/12n 5/14n]  last 2026-04-04
71. Tommy Gantt                  10.00  [10/16n 10/16n]  last 2026-05-16
72. Yanal Ashmoz ~               10.00  [12/13P 5/12n 13/15n]  last 2025-06-07
73. Evan Elder ~                 10.00  [8/14n 12/12n 10/13n]  last 2025-04-26
74. Rolando Bedoya ~             10.00  [8/12n 12/13n 10/13n]  last 2025-09-27
75. Hayisaer Maheshate ~         10.67  [6/12n 13/13n 13/13n]  last 2025-08-23
76. Guram Kutateladze ~          11.00  [13/13n 10/13n 10/12n]  last 2025-03-22
77. Kody Steele                  12.00  [14/14n 10/12P]  last 2026-05-02
78. Francis Marshall             12.00  [14/16n 13/14n 9/10P]  last 2026-04-25
79. Dom Mar Fan                  12.50  [14/14n 11/13P]  last 2026-05-02

━━━ FEATHERWEIGHT ━━━  (64 ranked)
 1. Alexander Volkanovski ~       1.00  [1/13P 1/13P 1/12P]  last 2026-01-31
 2. Lerone Murphy                 1.33  [1/15n 2/12P 1/12n]  last 2026-03-21
 3. Youssef Zalal                 2.33  [1/16n 4/14P 2/12n]  last 2026-04-25
 4. Melquizael Costa              2.67  [1/16n 3/14n 4/12n]  last 2026-05-16
 5. Giga Chikadze                 2.67  [3/15n 2/12n 3/14n]  last 2026-06-20
 6. Diego Lopes                   3.00  [7/7o 1/13P 1/14n]  last 2026-06-14
 7. Kevin Vallejos                3.00  [1/14n 2/12n 6/12n]  last 2026-03-14
 8. Cortavious Romious ~          3.00  [3/12n 3/11n]  last 2025-04-05
 9. Josh Emmet ~                  3.33  [4/14P 1/12n 5/12P]  last 2025-10-04
10. Jean Silva ~                  3.33  [5/11P 1/14n 4/13P]  last 2026-01-24
11. Vinicius Oliveira             3.33  [3/15n 6/15n 1/13n]  last 2026-06-20
12. Arnold Allen                  3.67  [1/16n 5/11P 5/14P]  last 2026-05-16
