CARD-PLACEMENT POWER RANKINGS  (UFC)  — as of 2026-06-22  [metric: avg card slot (1.0 = main event, lower = higher)]
recency: last 3 fights, decay 0.6 | active ≤ 18mo
events scanned: 788 | inverted-order events corrected on the fly: 11 | ranked fighters: 615 (division inferred from opponents for 214, marked ~) | skipped (no division): 24


━━━ HEAVYWEIGHT ━━━  (42 ranked)
68. Edson Barboza                 8.86  [11/14P 10/12P 1/12n]  last 2025-12-06
69. Damir Hadzovic ~              8.92  [8/11n 8/14n 13/13n]  last 2025-02-01
70. Drakkar Klose ~               9.20  [10/12P 8/13n 9/13P]  last 2025-08-16
71. Austin Hubbard ~              9.22  [8/12n 12/12n 8/12P]  last 2025-08-23
72. Mairon Santos ~               9.41  [14/14P 2/11n 9/10P]  last 2025-12-06
73. Hayisaer Maheshate ~          9.43  [6/12n 13/13n 13/13n]  last 2025-08-23
74. Trey Ogden                    9.51  [10/16n 9/14n 9/12n]  last 2026-05-16
75. Evan Elder ~                  9.59  [8/14n 12/12n 10/13n]  last 2025-04-26
76. Rolando Bedoya ~              9.59  [8/12n 12/13n 10/13n]  last 2025-09-27
77. Vinc Pichel ~                 9.69  [10/12n 12/13P 5/12P]  last 2025-03-29
78. Tommy Gantt                  10.00  [10/16n 10/16n]  last 2026-05-16
79. Matheus Camilo               10.00  [13/14P 5/11n]  last 2025-11-15
80. Yanal Ashmoz ~               10.04  [12/13P 5/12n 13/15n]  last 2025-06-07
81. Lando Vannata                10.22  [12/16n 11/14n 4/11n]  last 2026-04-04
82. Anshul Jubli ~               10.29  [12/12P 10/13P 6/12n]  last 2025-02-08
83. Viacheslav Borshchev ~       10.67  [13/14P 9/11P 7/12P]  last 2025-11-15
84. Darrius Flowers              10.71  [12/16n 12/12n 5/14n]  last 2026-04-04
85. Joe Solecki ~                11.24  [14/14n 8/12P 9/12n]  last 2025-01-11
